,Well,Absorbance,Cell_Type,Dilution,GROUP ID
709,E9,-0.115166667,Diseased,7812.5,
710,E10,-0.110166667,Diseased,3906.25,
711,F1,0.481833333,Diseased,2e+06,
712,F2,0.306833333,Diseased,1e+06,
713,F3,0.118833333,Diseased,5e+05,
714,F4,0.027833333,Diseased,250000,
715,F5,-0.088166667,Diseased,125000,
716,F6,-0.110166667,Diseased,62500,
717,F7,-0.085166667,Diseased,31250,
718,F8,-0.113166667,Diseased,15625,
719,F9,-0.111166667,Diseased,7812.5,
720,F10,-0.124166667,Diseased,3906.25,
721,A1,1.594333333,Healthy,2e+06,
722,A2,1.583333333,Healthy,1e+06,
723,A3,0.779333333,Healthy,5e+05,
724,A4,0.422333333,Healthy,250000,
725,A5,0.183333333,Healthy,125000,
726,A6,0.091333333,Healthy,62500,
727,A7,0.049333333,Healthy,31250,
728,A8,0.020333333,Healthy,15625,
729,A9,0.002333333,Healthy,7812.5,
730,A10,0.005333333,Healthy,3906.25,
731,B1,1.602333333,Healthy,2e+06,
732,B2,1.455333333,Healthy,1e+06,
733,B3,1.108333333,Healthy,5e+05,
734,B4,0.564333333,Healthy,250000,
735,B5,0.216333333,Healthy,125000,
736,B6,0.095333333,Healthy,62500,
737,B7,0.053333333,Healthy,31250,
738,B8,0.024333333,Healthy,15625,
739,B9,0.009333333,Healthy,7812.5,
740,B10,0.008333333,Healthy,3906.25,
741,C1,1.575333333,Healthy,2e+06,
742,C2,1.730333333,Healthy,1e+06,
743,C3,1.146333333,Healthy,5e+05,
744,C4,0.755333333,Healthy,250000,
745,C5,0.221333333,Healthy,125000,
746,C6,0.105333333,Healthy,62500,
747,C7,0.077333333,Healthy,31250,
748,C8,0.043333333,Healthy,15625,
749,C9,0.011333333,Healthy,7812.5,
750,C10,0.005333333,Healthy,3906.25,
751,D1,0.485333333,Diseased,2e+06,
752,D2,0.742333333,Diseased,1e+06,
753,D3,0.331333333,Diseased,5e+05,
754,D4,0.228333333,Diseased,250000,
755,D5,0.063333333,Diseased,125000,
756,D6,-0.039666667,Diseased,62500,
757,D7,-0.019666667,Diseased,31250,
758,D8,-0.072666667,Diseased,15625,
759,D9,-0.076666667,Diseased,7812.5,
760,D10,-0.087666667,Diseased,3906.25,
761,E1,0.475333333,Diseased,2e+06,
762,E2,0.207333333,Diseased,1e+06,
763,E3,0.131333333,Diseased,5e+05,
764,E4,0.087333333,Diseased,250000,
765,E5,0.010333333,Diseased,125000,
766,E6,-0.025666667,Diseased,62500,
767,E7,-0.052666667,Diseased,31250,
768,E8,-0.056666667,Diseased,15625,
769,E9,-0.086666667,Diseased,7812.5,
770,E10,-0.081666667,Diseased,3906.25,
771,F1,-0.075666667,Diseased,2e+06,
772,F2,-0.076666667,Diseased,1e+06,
773,F3,-0.070666667,Diseased,5e+05,
774,F4,-0.065666667,Diseased,250000,
775,F5,-0.070666667,Diseased,125000,
776,F6,-0.081666667,Diseased,62500,
777,F7,-0.077666667,Diseased,31250,
778,F8,-0.063666667,Diseased,15625,
779,F9,-0.089666667,Diseased,7812.5,
780,F10,-0.089666667,Diseased,3906.25,
781,A1,1.526833333,Healthy,2e+06,
782,A2,1.225833333,Healthy,1e+06,
783,A3,0.719833333,Healthy,5e+05,
784,A4,0.290833333,Healthy,250000,
785,A5,0.146833333,Healthy,125000,
786,A6,0.030833333,Healthy,62500,
787,A7,0.024833333,Healthy,31250,
788,A8,-0.000166667,Healthy,15625,
789,A9,-0.022166667,Healthy,7812.5,
790,A10,-0.009166667,Healthy,3906.25,
791,B1,2.155833333,Healthy,2e+06,
792,B2,1.888833333,Healthy,1e+06,
793,B3,1.313833333,Healthy,5e+05,
794,B4,0.571833333,Healthy,250000,
795,B5,0.279833333,Healthy,125000,
796,B6,0.147833333,Healthy,62500,
797,B7,0.070833333,Healthy,31250,
798,B8,0.021833333,Healthy,15625,
799,B9,-0.008166667,Healthy,7812.5,
800,B10,-0.015166667,Healthy,3906.25,
801,C1,2.164833333,Healthy,2e+06,
802,C2,2.061833333,Healthy,1e+06,
803,C3,1.187833333,Healthy,5e+05,
804,C4,0.509833333,Healthy,250000,
805,C5,0.263833333,Healthy,125000,
806,C6,0.112833333,Healthy,62500,
807,C7,0.042833333,Healthy,31250,
808,C8,-0.014166667,Healthy,15625,
809,C9,-0.029166667,Healthy,7812.5,
810,C10,-0.002166667,Healthy,3906.25,
811,D1,0.828833333,Diseased,2e+06,
812,D2,0.894833333,Diseased,1e+06,
813,D3,0.275833333,Diseased,5e+05,
814,D4,0.074833333,Diseased,250000,
815,D5,-0.012166667,Diseased,125000,
816,D6,-0.063166667,Diseased,62500,
817,D7,-0.072166667,Diseased,31250,
818,D8,-0.084166667,Diseased,15625,
819,D9,-0.084166667,Diseased,7812.5,
820,D10,-0.081166667,Diseased,3906.25,
821,E1,0.694833333,Diseased,2e+06,
822,E2,0.315833333,Diseased,1e+06,
823,E3,0.164833333,Diseased,5e+05,
824,E4,0.010833333,Diseased,250000,
825,E5,-0.055166667,Diseased,125000,
826,E6,-0.070166667,Diseased,62500,
827,E7,-0.078166667,Diseased,31250,
828,E8,-0.106166667,Diseased,15625,
829,E9,-0.087166667,Diseased,7812.5,
830,E10,-0.114166667,Diseased,3906.25,
831,F1,0.699833333,Diseased,2e+06,
832,F2,0.452833333,Diseased,1e+06,
833,F3,0.357833333,Diseased,5e+05,
834,F4,0.102833333,Diseased,250000,
835,F5,-0.039166667,Diseased,125000,
836,F6,-0.064166667,Diseased,62500,
837,F7,-0.069166667,Diseased,31250,
838,F8,-0.103166667,Diseased,15625,
839,F9,-0.089166667,Diseased,7812.5,
840,F10,-0.106166667,Diseased,3906.25,
841,A1,2.067666667,Healthy,2e+06,
842,A2,2.138666667,Healthy,1e+06,
843,A3,1.662666667,Healthy,5e+05,
844,A4,0.817666667,Healthy,250000,
845,A5,0.327666667,Healthy,125000,
846,A6,0.163666667,Healthy,62500,
847,A7,0.015666667,Healthy,31250,
848,A8,-0.021333333,Healthy,15625,
849,A9,-0.029333333,Healthy,7812.5,
850,A10,-0.040333333,Healthy,3906.25,
851,B1,1.785666667,Healthy,2e+06,
852,B2,1.965666667,Healthy,1e+06,
853,B3,1.695666667,Healthy,5e+05,
854,B4,0.983666667,Healthy,250000,
855,B5,0.424666667,Healthy,125000,
856,B6,0.135666667,Healthy,62500,
857,B7,0.022666667,Healthy,31250,
858,B8,-0.058333333,Healthy,15625,
859,B9,-0.042333333,Healthy,7812.5,
860,B10,-0.032333333,Healthy,3906.25,
861,C1,2.665666667,Healthy,2e+06,
862,C2,1.521666667,Healthy,1e+06,
863,C3,0.756666667,Healthy,5e+05,
864,C4,0.864666667,Healthy,250000,
865,C5,0.371666667,Healthy,125000,
866,C6,0.073666667,Healthy,62500,
867,C7,0.005666667,Healthy,31250,
868,C8,-0.043333333,Healthy,15625,
869,C9,-0.048333333,Healthy,7812.5,
870,C10,0.281666667,Healthy,3906.25,
871,D1,1.454666667,Diseased,2e+06,
872,D2,0.880666667,Diseased,1e+06,
873,D3,0.390666667,Diseased,5e+05,
874,D4,0.307666667,Diseased,250000,
875,D5,0.071666667,Diseased,125000,
876,D6,-0.063333333,Diseased,62500,
877,D7,-0.100333333,Diseased,31250,
878,D8,-0.133333333,Diseased,15625,
879,D9,-0.144333333,Diseased,7812.5,
880,D10,-0.140333333,Diseased,3906.25,
881,E1,1.138666667,Diseased,2e+06,
882,E2,0.461666667,Diseased,1e+06,
883,E3,0.435666667,Diseased,5e+05,
884,E4,0.188666667,Diseased,250000,
885,E5,-0.055333333,Diseased,125000,
886,E6,-0.070333333,Diseased,62500,
887,E7,-0.088333333,Diseased,31250,
888,E8,-0.124333333,Diseased,15625,
889,E9,-0.135333333,Diseased,7812.5,
890,E10,-0.081333333,Diseased,3906.25,
891,F1,1.127666667,Diseased,2e+06,
892,F2,0.559666667,Diseased,1e+06,
893,F3,0.496666667,Diseased,5e+05,
894,F4,0.167666667,Diseased,250000,
895,F5,-0.045333333,Diseased,125000,
896,F6,-0.089333333,Diseased,62500,
897,F7,-0.153333333,Diseased,31250,
898,F8,-0.139333333,Diseased,15625,
899,F9,-0.154333333,Diseased,7812.5,
900,F10,-0.141333333,Diseased,3906.25,
901,A1,0.065333333,Healthy,2e+06,
902,A2,0.047333333,Healthy,1e+06,
903,A3,0.047333333,Healthy,5e+05,
904,A4,0.033333333,Healthy,250000,
905,A5,0.007333333,Healthy,125000,
906,A6,0.021333333,Healthy,62500,
907,A7,0.001333333,Healthy,31250,
908,A8,-0.002666667,Healthy,15625,
909,A9,0.004333333,Healthy,7812.5,
910,A10,-0.005666667,Healthy,3906.25,
911,B1,0.890333333,Healthy,2e+06,
912,B2,0.408333333,Healthy,1e+06,
913,B3,0.206333333,Healthy,5e+05,
914,B4,0.108333333,Healthy,250000,
915,B5,0.028333333,Healthy,125000,
916,B6,0.013333333,Healthy,62500,
917,B7,-0.003666667,Healthy,31250,
918,B8,0.000333333,Healthy,15625,
